transaction_id,datetime_local,store_id,channel,membership_tier,coupon_used,items_count,avg_item_price_rmb,basket_value_rmb,wait_time_sec,satisfaction_1to5
269B7AFC,2025-09-22 09:39:00,WZ02,In-Store,None,1,2,23.82,11.41,115,4
E3A17393,2025-09-22 09:39:00,WZ02,App,Silver,1,1,29.27,6.78,53,4
02E7A730,2025-09-22 09:47:00,WZ01,In-Store,None,0,3,22.2,61.58,94,4
CBF045EE,2025-09-22 09:49:00,WZ02,In-Store,Silver,0,1,27.91,16.66,45,5
191EE790,2025-09-22 09:50:00,WZ03,In-Store,Silver,0,2,24.39,35.98,88,4
58D57A7A,2025-09-22 09:52:00,WZ03,App,None,1,1,18.19,10.91,111,4
317A99C6,2025-09-22 09:53:00,WZ02,In-Store,Silver,0,2,33.76,16.19,61,4
D32C6CD7,2025-09-22 09:55:00,WZ02,In-Store,None,0,3,14.87,57.91,66,4
1163442A,2025-09-22 09:56:00,WZ02,In-Store,None,1,1,25.35,18.9,58,5
DE595AFB,2025-09-22 09:57:00,WZ03,App,None,1,3,26.81,30.56,44,4
9C275E2C,2025-09-22 09:57:00,WZ01,In-Store,Silver,0,1,32.7,8.89,78,5
C5A21A23,2025-09-22 09:58:00,WZ02,In-Store,None,0,4,29.73,65.58,77,4
86D136C1,2025-09-22 09:59:00,WZ01,In-Store,Silver,0,1,31.57,6.98,90,5
4D477BE8,2025-09-22 10:00:00,WZ01,In-Store,None,0,5,22.72,25.21,57,5
73A55FDA,2025-09-22 10:02:00,WZ01,In-Store,None,0,1,26.4,24.42,46,5
4D7B4267,2025-09-22 10:10:00,WZ01,Delivery,None,0,4,38.83,61.38,141,3
331FC117,2025-09-22 10:10:00,WZ01,Delivery,Silver,0,2,27.06,24.12,107,4
E87D7533,2025-09-22 10:11:00,WZ01,App,None,0,1,28.72,30.83,87,4
C518BD82,2025-09-22 10:13:00,WZ02,In-Store,Silver,0,2,25.27,35.42,63,4
0D80ACC4,2025-09-22 10:14:00,WZ03,App,Silver,0,1,33.83,10.34,92,5
3258CDC1,2025-09-22 10:25:00,WZ03,In-Store,Silver,0,1,20.57,14.86,59,5
66237CE6,2025-09-22 10:31:00,WZ02,In-Store,None,0,2,26.1,26.82,36,5
EBF2DDAB,2025-09-22 10:35:00,WZ02,In-Store,Gold,0,3,30.05,124.0,56,5
9D985CD6,2025-09-22 10:41:00,WZ02,App,None,0,1,19.74,61.01,130,4
8F877CBE,2025-09-22 10:44:00,WZ01,App,None,0,1,36.28,25.15,62,5
DCD95620,2025-09-22 10:45:00,WZ01,Delivery,None,0,3,26.38,54.51,125,3
722003D1,2025-09-22 10:56:00,WZ02,App,Gold,1,3,17.25,63.69,64,5
DE994190,2025-09-22 11:01:00,WZ03,App,Gold,0,1,18.59,167.3,47,4
782C587B,2025-09-22 11:04:00,WZ03,Delivery,None,0,3,26.71,46.36,134,4
C059FBE4,2025-09-22 11:09:00,WZ01,In-Store,Silver,0,1,23.68,20.67,19,4
EA8652CF,2025-09-22 11:12:00,WZ01,App,Silver,0,1,27.29,13.79,25,5
AF37CF4A,2025-09-22 11:14:00,WZ01,In-Store,Gold,0,2,22.25,32.52,19,5
5942EC5E,2025-09-22 11:41:00,WZ03,App,Silver,0,4,22.22,31.16,71,4
760300EB,2025-09-22 11:42:00,WZ03,In-Store,None,0,2,19.14,33.65,41,5
93D2BDAE,2025-09-22 11:45:00,WZ03,In-Store,None,0,2,25.04,46.42,11,5
577E24A5,2025-09-22 11:48:00,WZ01,In-Store,Silver,0,3,21.47,76.94,25,5
418E7FCF,2025-09-22 11:49:00,WZ01,App,None,0,2,22.13,39.48,105,4
C45E1D8B,2025-09-22 11:58:00,WZ02,In-Store,None,0,4,24.65,23.78,35,5
AAC770A6,2025-09-22 11:59:00,WZ01,App,None,0,2,17.91,22.09,72,5
282E3E79,2025-09-22 12:06:00,WZ03,In-Store,None,0,1,14.98,9.03,59,4
87A5E5D1,2025-09-22 12:22:00,WZ03,In-Store,None,0,2,24.35,15.87,63,5
9F23D42E,2025-09-22 12:26:00,WZ02,In-Store,Silver,1,1,18.22,9.01,25,5
532A7D65,2025-09-22 12:32:00,WZ01,In-Store,Silver,0,1,13.93,14.79,38,5
BB35B704,2025-09-22 12:33:00,WZ01,In-Store,None,0,1,25.04,50.62,39,5
4818A68F,2025-09-22 12:50:00,WZ02,In-Store,None,0,3,21.09,41.56,28,5
2E71147F,2025-09-22 12:57:00,WZ01,App,Silver,0,1,24.87,20.69,58,5
3065D4C1,2025-09-22 12:57:00,WZ02,Delivery,None,0,5,23.32,78.89,104,5
C32E9B82,2025-09-22 13:14:00,WZ02,Delivery,None,0,3,18.77,37.51,100,4
0ED715AA,2025-09-22 13:34:00,WZ03,In-Store,None,0,1,24.6,71.33,22,4
A8E5F3D9,2025-09-22 13:51:00,WZ02,App,Gold,0,2,22.61,52.74,75,5
C81B2F81,2025-09-22 13:58:00,WZ03,App,Silver,0,4,29.7,54.63,40,5
70139760,2025-09-22 14:02:00,WZ02,In-Store,Silver,0,4,22.3,74.86,121,4
0FAD963E,2025-09-22 14:03:00,WZ01,App,None,0,1,22.04,22.02,57,5
13A39A4F,2025-09-22 14:05:00,WZ03,App,None,0,3,18.05,31.41,83,4
8F5FAA76,2025-09-22 14:07:00,WZ02,App,None,0,1,29.76,21.25,64,5
7D491DE8,2025-09-22 14:17:00,WZ01,In-Store,None,1,1,15.02,13.42,74,5
056A116A,2025-09-22 14:22:00,WZ01,App,None,0,1,23.03,7.85,84,4
A67AF130,2025-09-22 14:24:00,WZ03,In-Store,Silver,1,1,29.79,7.55,52,3
1CD26F7A,2025-09-22 14:25:00,WZ02,Delivery,Silver,0,1,23.18,44.11,163,5
D3866D63,2025-09-22 14:27:00,WZ03,Delivery,None,0,3,28.29,40.17,102,5
ED026251,2025-09-22 14:27:00,WZ03,In-Store,None,0,1,25.46,12.8,48,4
4BE739E5,2025-09-22 14:32:00,WZ01,In-Store,Gold,0,6,24.86,93.75,80,4
8BEB9972,2025-09-22 14:33:00,WZ01,In-Store,None,0,1,21.75,14.7,75,4
ECF01D6B,2025-09-22 14:41:00,WZ01,App,None,0,1,19.2,30.44,71,5
9FC4E72B,2025-09-22 14:48:00,WZ02,Delivery,Gold,0,4,28.69,86.8,132,5
4393FC62,2025-09-22 14:50:00,WZ02,App,Gold,0,2,16.66,22.61,82,5
DC5E03A6,2025-09-22 14:51:00,WZ01,In-Store,None,0,2,23.09,21.51,42,5
6CFDF578,2025-09-22 14:51:00,WZ01,In-Store,Gold,0,3,30.23,39.83,58,5
CE70DA8D,2025-09-22 14:51:00,WZ01,App,None,1,1,24.62,10.19,61,5
610482C6,2025-09-22 14:53:00,WZ03,In-Store,None,0,1,19.13,17.07,63,4
1046F2E1,2025-09-22 15:04:00,WZ01,App,None,1,1,26.11,28.8,53,5
1A9D37C0,2025-09-22 15:05:00,WZ02,In-Store,None,0,5,30.39,29.09,59,5
A00E8244,2025-09-22 15:10:00,WZ01,App,None,0,1,26.78,8.83,63,5
3F10EA10,2025-09-22 15:16:00,WZ02,In-Store,Gold,0,5,29.82,99.68,68,5
E9C78A12,2025-09-22 15:19:00,WZ01,App,None,0,3,27.82,86.44,70,4
942F8D16,2025-09-22 15:23:00,WZ01,In-Store,Silver,0,1,21.95,4.35,53,4
EAA7B98E,2025-09-22 15:24:00,WZ03,In-Store,Silver,0,1,25.26,16.36,44,5
F83B7E80,2025-09-22 15:25:00,WZ02,In-Store,Silver,0,4,25.06,76.37,34,5
B8C4979B,2025-09-22 15:27:00,WZ02,In-Store,None,1,1,26.17,13.55,40,5
7D16BC88,2025-09-22 15:29:00,WZ02,In-Store,Silver,0,1,31.55,20.49,35,5
46D33F75,2025-09-22 15:30:00,WZ01,In-Store,Silver,0,2,17.65,31.11,81,4
ABAD1DB8,2025-09-22 15:32:00,WZ02,In-Store,None,0,2,24.71,23.0,51,4
4CA24B5B,2025-09-22 15:34:00,WZ01,Delivery,Gold,0,2,24.56,44.53,155,4
2B97C884,2025-09-22 15:35:00,WZ01,In-Store,None,0,5,25.38,51.75,118,3
FA4897A9,2025-09-22 15:38:00,WZ02,In-Store,None,0,1,18.74,12.31,89,4
918B7608,2025-09-22 15:54:00,WZ01,App,Gold,0,3,21.06,29.95,98,4
A4EC02A4,2025-09-22 15:54:00,WZ02,In-Store,Silver,0,4,14.91,86.81,99,5
B2BECFE2,2025-09-22 15:55:00,WZ01,App,Silver,1,2,27.11,48.29,81,3
8C2F2D01,2025-09-22 15:56:00,WZ02,In-Store,Silver,0,3,28.58,35.36,220,4
3215B1F6,2025-09-22 15:58:00,WZ01,App,None,1,2,26.83,25.26,79,5
E5BB96D9,2025-09-22 16:00:00,WZ01,In-Store,Silver,0,1,18.5,8.9,62,5
7A3A188C,2025-09-22 16:01:00,WZ01,In-Store,Gold,0,3,20.22,22.93,46,4
733EE26C,2025-09-22 16:05:00,WZ01,In-Store,Silver,0,1,10.98,11.81,46,4
AD39A240,2025-09-22 16:07:00,WZ01,App,None,1,1,29.71,18.24,79,4
0BB127EC,2025-09-22 16:07:00,WZ01,App,None,1,2,27.3,38.94,56,5
06FC861D,2025-09-22 16:07:00,WZ01,App,Gold,0,2,27.51,28.0,72,5
B210DC27,2025-09-22 16:08:00,WZ01,App,None,1,4,23.0,57.66,117,5
80E64149,2025-09-22 16:12:00,WZ02,In-Store,Gold,0,6,22.74,61.11,97,4
1B57B501,2025-09-22 16:16:00,WZ01,In-Store,None,0,1,22.12,24.39,55,5
A10CD508,2025-09-22 16:16:00,WZ03,In-Store,None,0,1,28.62,8.87,82,5
FD1D20E3,2025-09-22 16:18:00,WZ03,App,Silver,0,3,23.51,66.4,63,4
5AA8A89F,2025-09-22 16:30:00,WZ01,App,None,1,2,28.41,25.52,118,5
26A5499A,2025-09-22 16:44:00,WZ03,App,None,0,3,27.17,36.8,56,3
C9315F08,2025-09-22 16:46:00,WZ02,App,None,1,2,24.24,27.4,79,4
D8890560,2025-09-22 16:52:00,WZ02,App,Silver,1,1,19.03,12.71,89,4
977D7EF4,2025-09-22 17:09:00,WZ03,In-Store,None,1,2,20.23,14.0,65,5
A7BEAA5D,2025-09-22 17:20:00,WZ02,Delivery,Silver,0,4,29.28,91.74,101,5
54594056,2025-09-22 17:27:00,WZ02,App,None,0,2,23.19,37.73,75,5
F82DBEA9,2025-09-22 17:28:00,WZ01,App,Silver,0,4,23.59,63.02,72,4
68DB8462,2025-09-22 17:29:00,WZ03,In-Store,None,0,1,22.15,7.1,61,5
394D2CDC,2025-09-22 17:48:00,WZ01,App,None,0,2,31.8,45.32,23,4
3E0E489C,2025-09-22 18:01:00,WZ02,App,Silver,1,1,17.0,23.3,31,4
764967FF,2025-09-22 18:04:00,WZ01,App,None,0,1,32.49,10.48,74,5
0AD05EF0,2025-09-22 18:14:00,WZ03,In-Store,None,0,2,34.93,34.13,42,5
12F31260,2025-09-22 18:15:00,WZ01,In-Store,None,0,2,20.81,28.32,46,5
72984078,2025-09-22 18:25:00,WZ01,In-Store,None,0,3,19.95,46.35,42,5
DAB98165,2025-09-22 18:26:00,WZ03,App,Silver,1,2,25.15,48.02,76,4
6AA8BA08,2025-09-22 18:34:00,WZ01,In-Store,None,0,4,17.07,93.87,52,5
E5573156,2025-09-22 18:52:00,WZ01,App,None,0,2,24.01,30.12,88,4
D2E1F8D1,2025-09-22 18:54:00,WZ02,In-Store,Silver,0,3,25.09,69.77,77,5
12130D54,2025-09-22 19:15:00,WZ02,Delivery,None,0,1,20.29,34.83,108,5
405E7E5D,2025-09-22 19:15:00,WZ03,In-Store,None,0,1,20.96,17.1,54,5
CD954DF8,2025-09-22 19:27:00,WZ01,App,Gold,0,4,22.24,115.29,49,4
7BB82A3E,2025-09-22 19:49:00,WZ03,App,None,1,3,25.75,40.51,83,5
E9ED879E,2025-09-22 19:53:00,WZ02,App,None,0,3,19.06,30.82,46,5
FCD4B433,2025-09-23 07:17:00,WZ01,In-Store,Gold,1,3,34.92,41.75,63,5
C5CE2E68,2025-09-23 07:26:00,WZ01,In-Store,None,0,1,14.27,19.74,35,4
A8791C38,2025-09-23 07:30:00,WZ02,Delivery,Silver,0,2,32.91,34.66,120,5
B7ED9AC1,2025-09-23 07:41:00,WZ01,In-Store,Silver,0,3,31.14,49.49,27,4
38546D58,2025-09-23 07:45:00,WZ01,App,Silver,1,2,13.1,21.61,19,5
906DDE1B,2025-09-23 07:52:00,WZ01,App,Gold,0,3,25.73,45.93,45,5
A6FFAD52,2025-09-23 07:54:00,WZ02,Delivery,None,1,3,25.41,50.85,110,5
DC1FD41E,2025-09-23 08:00:00,WZ01,App,Gold,1,1,21.08,23.8,84,4
9D76E0E1,2025-09-23 08:06:00,WZ01,In-Store,None,0,3,13.16,43.26,125,5
A6D85202,2025-09-23 08:07:00,WZ02,In-Store,Silver,0,2,25.07,41.38,126,4
D998D762,2025-09-23 08:07:00,WZ01,In-Store,Silver,0,1,24.64,11.62,84,5
738A3A9F,2025-09-23 08:10:00,WZ01,In-Store,None,0,1,31.47,11.16,80,5
868D7390,2025-09-23 08:10:00,WZ01,In-Store,None,0,4,31.13,32.09,91,4
D1A1AEC0,2025-09-23 08:14:00,WZ01,App,Silver,0,4,24.22,56.55,54,4
1D89F50C,2025-09-23 08:14:00,WZ03,In-Store,Silver,0,1,22.72,13.15,76,4
049D7D28,2025-09-23 08:18:00,WZ02,App,None,1,1,24.68,13.52,47,5
39FE8975,2025-09-23 08:20:00,WZ03,Delivery,Silver,0,1,31.27,3.99,133,4
82299D74,2025-09-23 08:24:00,WZ01,In-Store,None,0,2,21.97,21.78,117,4
148829A2,2025-09-23 08:27:00,WZ01,Delivery,None,0,1,25.53,29.72,120,5
C6D667E9,2025-09-23 08:29:00,WZ01,In-Store,None,0,1,26.48,16.87,162,5
F0BAD62E,2025-09-23 08:30:00,WZ01,In-Store,None,0,2,34.34,31.82,46,5
80A75243,2025-09-23 08:31:00,WZ03,In-Store,Silver,0,3,26.99,38.43,86,5
DB26D5CC,2025-09-23 08:31:00,WZ01,In-Store,None,0,1,24.04,7.96,38,5
7ED193D0,2025-09-23 08:34:00,WZ02,In-Store,Silver,0,2,16.41,18.09,57,5
C2ADD057,2025-09-23 08:34:00,WZ03,In-Store,Silver,0,2,25.5,14.32,59,5
E543F5DA,2025-09-23 08:38:00,WZ02,In-Store,Silver,0,1,25.84,14.57,165,4
92B1A302,2025-09-23 08:41:00,WZ02,In-Store,None,0,1,22.72,12.37,84,4
F4C75A51,2025-09-23 08:43:00,WZ01,In-Store,None,0,2,26.39,21.58,67,5
3A0E583B,2025-09-23 08:45:00,WZ02,App,Silver,0,3,34.48,76.58,102,3
AA1B4162,2025-09-23 08:46:00,WZ03,In-Store,Gold,1,1,18.58,18.32,49,4
54232E6D,2025-09-23 08:46:00,WZ01,In-Store,None,0,1,13.52,14.55,81,5
BEB92C7D,2025-09-23 08:48:00,WZ01,In-Store,Gold,0,3,27.93,35.03,107,5
9DD57243,2025-09-23 08:49:00,WZ02,In-Store,Silver,0,2,30.16,74.35,177,3
90D6664B,2025-09-23 08:50:00,WZ01,App,Silver,1,4,40.38,39.54,90,5
DCCABA7A,2025-09-23 08:51:00,WZ02,In-Store,Gold,1,4,24.31,46.74,54,4
67517C16,2025-09-23 08:54:00,WZ03,Delivery,None,0,2,24.7,23.42,96,4
507AFF85,2025-09-23 08:55:00,WZ01,In-Store,Silver,0,1,31.72,10.43,77,4
E82CC39A,2025-09-23 08:56:00,WZ02,App,None,0,1,24.35,19.22,132,4
6A817B7C,2025-09-23 08:56:00,WZ03,In-Store,None,0,2,24.61,46.88,51,4
5B2F25AD,2025-09-23 08:58:00,WZ01,Delivery,None,1,5,28.64,91.1,135,4
6F573B8B,2025-09-23 09:01:00,WZ02,In-Store,Silver,0,4,34.49,35.56,80,4
D5493F37,2025-09-23 09:05:00,WZ01,In-Store,Silver,1,1,24.41,14.19,55,4
FCA679F9,2025-09-23 09:07:00,WZ01,In-Store,Silver,0,1,16.72,9.29,102,3
286A9B43,2025-09-23 09:08:00,WZ03,In-Store,None,0,1,15.07,6.63,55,3
B677E731,2025-09-23 09:09:00,WZ02,App,Gold,1,1,19.77,11.29,94,4
124C1B60,2025-09-23 09:09:00,WZ02,In-Store,None,0,1,20.88,12.5,49,4
EE60213F,2025-09-23 09:10:00,WZ03,Delivery,None,0,1,28.82,6.4,111,5
A314566E,2025-09-23 09:12:00,WZ02,App,None,1,1,20.45,7.94,64,4
4E480A18,2025-09-23 09:13:00,WZ02,In-Store,Silver,0,1,30.02,38.7,52,4
F7CC3134,2025-09-23 09:16:00,WZ03,In-Store,None,0,2,23.69,19.23,99,5
98A7D84A,2025-09-23 09:17:00,WZ02,In-Store,Silver,0,2,24.12,276.7,98,4
BEC93327,2025-09-23 09:18:00,WZ02,In-Store,None,1,2,31.32,12.57,33,5
44A209EB,2025-09-23 09:20:00,WZ01,App,Silver,1,1,27.62,24.89,48,4
4D7F79CB,2025-09-23 09:20:00,WZ01,In-Store,Silver,0,1,18.75,11.54,58,5
DE29828A,2025-09-23 09:22:00,WZ01,App,None,0,3,32.81,44.68,50,4
5D397162,2025-09-23 09:23:00,WZ02,In-Store,None,0,2,28.42,32.71,39,5
4EF14102,2025-09-23 09:28:00,WZ02,Delivery,Silver,1,1,20.12,15.66,99,5
021B00D2,2025-09-23 09:34:00,WZ03,In-Store,None,0,1,22.22,12.24,92,4
68BE63F7,2025-09-23 09:36:00,WZ03,In-Store,Silver,0,4,24.67,38.09,43,5
2682D452,2025-09-23 09:41:00,WZ01,In-Store,None,1,1,28.7,9.78,46,5
05B40B5A,2025-09-23 09:43:00,WZ02,App,Silver,1,2,17.92,22.12,58,5
951B4DBD,2025-09-23 09:44:00,WZ02,App,Gold,1,4,22.68,31.38,147,5
84499163,2025-09-23 09:47:00,WZ01,App,Silver,0,4,20.85,120.76,89,5
4733191E,2025-09-23 09:50:00,WZ01,In-Store,Silver,0,5,36.09,32.66,100,3
3D6E5EE4,2025-09-23 09:51:00,WZ02,In-Store,Silver,0,1,27.49,13.37,54,5
9CAF89C0,2025-09-23 09:55:00,WZ01,In-Store,Silver,0,2,21.8,12.27,94,4
80F70A89,2025-09-23 09:56:00,WZ02,In-Store,Silver,0,6,29.5,59.81,53,5
34404A57,2025-09-23 09:57:00,WZ01,App,None,0,3,13.18,49.68,81,4
C5D88A58,2025-09-23 09:59:00,WZ02,In-Store,None,0,1,21.78,3.87,128,5
1C598E71,2025-09-23 10:06:00,WZ01,In-Store,Silver,0,2,22.02,31.45,117,4
A3172A91,2025-09-23 10:07:00,WZ01,In-Store,Silver,0,2,17.36,19.05,161,4
2FA444DB,2025-09-23 10:08:00,WZ02,In-Store,None,0,2,29.01,27.17,88,4
555734D0,2025-09-23 10:08:00,WZ02,App,None,0,3,20.73,26.83,53,4
DB3D528A,2025-09-23 10:15:00,WZ01,In-Store,Silver,0,3,26.94,47.61,52,5
38FC88C2,2025-09-23 10:18:00,WZ02,App,None,0,4,20.88,117.4,69,5
F45799E8,2025-09-23 10:22:00,WZ01,In-Store,None,0,2,25.85,72.42,39,5
8136C031,2025-09-23 10:26:00,WZ01,In-Store,None,0,4,26.11,47.58,36,4
C6B1C526,2025-09-23 10:27:00,WZ03,App,None,1,3,24.44,101.25,69,5
D59896CE,2025-09-23 10:27:00,WZ01,In-Store,None,0,2,27.18,29.47,62,5
F5CEE3CB,2025-09-23 10:29:00,WZ02,In-Store,Silver,0,1,27.4,20.18,46,5
46EF1F01,2025-09-23 10:31:00,WZ01,In-Store,None,0,3,12.61,25.66,87,5
8C217A03,2025-09-23 10:36:00,WZ01,In-Store,None,0,4,19.77,22.51,59,5
AE6716A6,2025-09-23 10:45:00,WZ03,In-Store,Silver,0,1,19.71,10.91,49,5
6E89904A,2025-09-23 10:49:00,WZ03,Delivery,Silver,0,3,19.84,96.83,127,4
ACCDDE73,2025-09-23 10:50:00,WZ01,App,Silver,0,1,26.92,10.0,77,5
EE56FCC4,2025-09-23 10:51:00,WZ01,App,None,1,1,20.38,17.88,84,4
FC51E10C,2025-09-23 11:00:00,WZ02,App,Silver,0,1,16.82,9.28,72,5
40FAC4F1,2025-09-23 11:05:00,WZ02,In-Store,None,0,1,12.75,18.91,31,5
BC31E3B5,2025-09-23 11:09:00,WZ03,App,Silver,0,2,22.87,17.25,41,5
12277BA7,2025-09-23 11:10:00,WZ02,In-Store,Silver,0,2,32.75,33.72,31,5
24D58CA6,2025-09-23 11:11:00,WZ02,App,None,1,2,22.86,30.99,75,5
74C2F4B9,2025-09-23 11:12:00,WZ01,In-Store,Gold,0,2,32.35,26.46,53,5
9A3440F7,2025-09-23 11:12:00,WZ03,App,None,0,1,25.2,6.05,57,4
DC2C9CDA,2025-09-23 11:13:00,WZ01,App,Silver,1,1,29.57,22.04,38,5
594BF9A7,2025-09-23 11:15:00,WZ02,In-Store,Silver,0,4,13.1,76.59,45,5
9C237317,2025-09-23 11:16:00,WZ01,App,Gold,1,4,25.13,58.93,67,5
82480DA4,2025-09-23 11:19:00,WZ02,In-Store,None,0,2,23.19,22.22,17,5
9D21FCA4,2025-09-23 11:21:00,WZ02,In-Store,Silver,0,3,31.96,75.83,64,4
85D9335D,2025-09-23 11:21:00,WZ02,In-Store,Gold,1,5,30.05,207.17,40,5
929C18CD,2025-09-23 11:34:00,WZ02,App,None,0,1,25.77,8.67,43,5
0234EBC2,2025-09-23 11:34:00,WZ01,In-Store,Silver,0,2,31.76,34.06,70,5
631FB784,2025-09-23 11:35:00,WZ02,In-Store,Silver,1,1,34.89,15.42,119,4
B9AA5B1C,2025-09-23 11:42:00,WZ02,In-Store,None,0,1,25.74,9.47,51,3
A5310926,2025-09-23 11:46:00,WZ02,App,Silver,1,3,26.97,59.28,60,5
D3A9D25D,2025-09-23 11:51:00,WZ01,In-Store,None,0,2,27.09,22.96,24,4
5460E902,2025-09-23 12:04:00,WZ03,Delivery,None,1,1,21.02,16.14,78,4
BC5BF4F0,2025-09-23 12:09:00,WZ02,App,Gold,0,1,30.0,15.14,46,5
9662C6B5,2025-09-23 12:14:00,WZ01,In-Store,None,0,1,24.48,16.38,158,3
A18582A6,2025-09-23 12:27:00,WZ01,App,Silver,0,1,17.66,16.94,33,4
71D75346,2025-09-23 12:33:00,WZ02,In-Store,Silver,0,3,31.52,32.53,27,4
FC5776C3,2025-09-23 12:35:00,WZ01,In-Store,Silver,0,4,24.73,48.67,41,4
8D5B51AA,2025-09-23 12:43:00,WZ02,In-Store,None,0,1,27.29,9.05,61,4
A0B1830B,2025-09-23 12:56:00,WZ02,In-Store,Silver,0,2,29.84,16.89,58,5
F3648052,2025-09-23 13:04:00,WZ03,In-Store,Gold,0,1,25.83,20.68,26,5
8CD7E1DC,2025-09-23 13:36:00,WZ01,App,Silver,1,1,26.84,22.17,45,5
4124FE44,2025-09-23 13:53:00,WZ01,In-Store,Gold,0,2,29.49,28.41,55,5
F6D0CFBB,2025-09-23 13:56:00,WZ01,In-Store,None,1,1,25.2,12.08,103,3
C1E1CADD,2025-09-23 13:57:00,WZ03,App,None,0,1,18.77,11.17,81,4
AF41C476,2025-09-23 14:02:00,WZ01,App,Silver,0,4,24.25,41.59,72,5
6311920D,2025-09-23 14:12:00,WZ03,In-Store,None,0,3,27.81,30.32,90,5
94C09779,2025-09-23 14:14:00,WZ03,App,None,1,2,21.76,18.83,151,4
0185FB11,2025-09-23 14:15:00,WZ03,App,Gold,0,2,15.95,35.31,76,4
28931326,2025-09-23 14:16:00,WZ02,In-Store,None,0,3,33.27,37.13,58,3
